Scena,Frame_Num,Lidar_Token,Occlusion_Index,Area_m2,Distanza_m,Prob_Auto,Prob_Pedone,Prob_Camion,Prob_Bicicletta,Prob_Moto,Prob_Bus,Prob_Rimorchio,Prob_Barriera,Prob_Cono,Prob_Altro,Oggetto_Piu_Probabile,Prob_Massima,Sintesi
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,0,39.444,25.7,0.0149,0.237,0.0025,0.087,0.0125,0.0,0.0,0.1877,0.1,0.0877,Pedone,0.237,Presenza potenziale: Pedone (23.7%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,1,30.814,17.77,0.017,0.2525,0.0035,0.1025,0.0135,0.0,0.0,0.1825,0.1,0.0825,Pedone,0.2525,Presenza potenziale: Pedone (25.2%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,2,127.834,24.24,0.0106,0.2047,0.0003,0.0547,0.0103,0.0,0.0,0.1984,0.1,0.0984,Pedone,0.2047,Presenza potenziale: Pedone (20.5%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,3,61.286,19.65,0.0184,0.2632,0.0042,0.1132,0.0142,0.0,0.0,0.1789,0.1,0.0789,Pedone,0.2632,Presenza potenziale: Pedone (26.3%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,4,107.141,19.18,0.0134,0.2257,0.0017,0.0757,0.0117,0.0,0.0,0.1914,0.1,0.0914,Pedone,0.2257,Presenza potenziale: Pedone (22.6%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,5,127.342,20.18,0.0137,0.2279,0.0019,0.0779,0.0119,0.0,0.0,0.1907,0.1,0.0907,Pedone,0.2279,Presenza potenziale: Pedone (22.8%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,6,29.552,22.11,0.0155,0.2414,0.0028,0.0914,0.0128,0.0,0.0,0.1862,0.1,0.0862,Pedone,0.2414,Presenza potenziale: Pedone (24.1%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,7,85.914,24.6,0.0165,0.2486,0.0032,0.0986,0.0132,0.0,0.0,0.1838,0.1,0.0838,Pedone,0.2486,Presenza potenziale: Pedone (24.9%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,8,85.197,26.38,0.0155,0.2413,0.0028,0.0913,0.0128,0.0,0.0,0.1862,0.1,0.0862,Pedone,0.2413,Presenza potenziale: Pedone (24.1%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,9,25.172,34.25,0.0174,0.2552,0.0037,0.1052,0.0137,0.0,0.0,0.1816,0.1,0.0816,Pedone,0.2552,Presenza potenziale: Pedone (25.5%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,10,5.284,39.01,0.15,0.15,0.04,0.15,0.1,0.016,0.005,0.01,0.05,0.03,Auto,0.15,Area probabilmente libera o con ostacoli minori (Auto al 15.0%).
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,11,32.836,28.69,0.0263,0.3219,0.0081,0.1719,0.0181,0.0,0.0,0.1594,0.1,0.0594,Pedone,0.3219,Presenza potenziale: Pedone (32.2%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,12,55.552,16.22,0.016,0.2453,0.003,0.0953,0.013,0.0,0.0,0.1849,0.1,0.0849,Pedone,0.2453,Presenza potenziale: Pedone (24.5%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,13,80.706,24.92,0.0285,0.2518,0.0069,0.1137,0.0208,0.0013,0.0004,0.1664,0.096,0.0759,Pedone,0.2518,Presenza potenziale: Pedone (25.2%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,14,36.13,29.71,0.0401,0.1989,0.0089,0.0799,0.0292,0.0033,0.001,0.1577,0.0897,0.0825,Pedone,0.1989,Area probabilmente libera o con ostacoli minori (Pedone al 19.9%).
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,15,55.927,14.19,0.0169,0.2521,0.0035,0.1021,0.0135,0.0,0.0,0.1826,0.1,0.0826,Pedone,0.2521,Presenza potenziale: Pedone (25.2%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,16,83.208,14.3,0.0163,0.2475,0.0032,0.0975,0.0132,0.0,0.0,0.1842,0.1,0.0842,Pedone,0.2475,Presenza potenziale: Pedone (24.8%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,17,160.873,12.1,0.0282,0.2037,0.0064,0.0643,0.0159,0.0038,0.0015,0.186,0.0971,0.0937,Pedone,0.2037,Presenza potenziale: Pedone (20.4%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,18,233.917,12.13,0.0804,0.2123,0.0476,0.1096,0.0328,0.0181,0.0113,0.1448,0.0887,0.0764,Pedone,0.2123,Presenza potenziale: Pedone (21.2%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,19,19.562,7.9,0.0828,0.174,0.0208,0.102,0.0568,0.0083,0.0026,0.1012,0.074,0.0636,Pedone,0.174,Area probabilmente libera o con ostacoli minori (Pedone al 17.4%).
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,20,5.36,17.78,0.019,0.2683,0.0047,0.1205,0.0158,0.0,0.0,0.1712,0.0985,0.0741,Pedone,0.2683,Presenza potenziale: Pedone (26.8%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,21,12.562,38.62,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,22,16.302,39.2,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,24,70.71,36.8,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,25,9.248,33.82,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,26,77.965,42.36,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,27,10.954,30.75,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,28,64.663,32.18,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,29,39.13,38.07,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
Scena 1 (cc8c0b),1,9d9bf11fb0e144c8b446d54a8a00184f,30,47.987,42.67,0.01,0.2,0.0,0.05,0.01,0.0,0.0,0.2,0.1,0.1,Pedone,0.2,Presenza potenziale: Pedone (20.0%) stimata sulla superficie semantica di appoggio.
